word,cefr_level,difficulty_level
absorb,B2,6.6
abstract,B2,6.4
accent,B2,6.4
accidentally,B2,6.4
accommodate,B2,6.5
accomplish,B2,5.5
accountant,B2,5.7
accurate,B2,5.2
acid,B2,6.3
acre,B2,6.5
activate,B2,6.7
addiction,B2,6.4
adequate,B2,6.5
adjust,B2,6.5
affordable,B2,5.4
aged,B2,6.2
agriculture,B2,6.3
AIDS,B2,6.4
alien,B2,6.3
alongside,B2,5.2
altogether,B2,6.5
ambitious,B2,5.5
ambulance,B2,5.5
amusing,B2,6.7
analyst,B2,6.5
ancestor,B2,5.9
animation,B2,6.4
annual,B2,6.0
anticipate,B2,6.7
anxiety,B2,5.3
apology,B2,6.5
applicant,B2,5.8
appropriate,B2,6.1
arrow,B2,5.4
artwork,B2,5.5
asset,B2,5.4
assign,B2,6.7
assistance,B2,5.2
assumption,B2,6.5
assure,B2,6.5
astonishing,B2,6.7
athletic,B2,6.5
attachment,B2,6.6
audio,B2,6.2
awareness,B2,5.3
awkward,B2,6.3
badge,B2,6.5
balanced,B2,6.4
ballet,B2,5.5
balloon,B2,6.6
barely,B2,5.2
bargain,B2,6.5
basement,B2,5.4
basket,B2,6.5
bat,B2,6.3
beneficial,B2,5.5
beside,B2,5.4
besides,B2,5.2
bias,B2,6.4
bid,B2,6.3
biological,B2,5.3
blanket,B2,6.5
blow,B2,6.2
bold,B2,6.4
bombing,B2,6.5
boost,B2,6.3
bound,B2,6.2
brick,B2,5.4
brief,B2,6.2
broadcaster,B2,5.7
broad,B2,6.2
buck,B2,6.5
bug,B2,6.4
cabin,B2,6.4
canal,B2,6.4
candle,B2,6.6
carbon,B2,6.2
castle,B2,6.3
casual,B2,6.4
cave,B2,6.4
certain,B2,5.8
certificate,B2,6.3
challenging,B2,6.4
championship,B2,6.2
charming,B2,6.5
chase,B2,6.3
cheek,B2,6.5
cheer,B2,6.5
chop,B2,6.7
circuit,B2,6.2
civilization,B2,6.5
clarify,B2,5.6
classify,B2,6.9
cliff,B2,5.5
clinic,B2,6.4
clip,B2,6.4
coincidence,B2,6.5
collector,B2,6.6
colony,B2,6.5
colorful,B2,6.6
comic,B2,6.3
commander,B2,6.2
comparative,B2,6.7
complete,B2,5.9
compose,B2,6.8
composer,B2,5.7
compound,B2,6.4
comprehensive,B2,6.3
comprise,B2,6.7
compulsory,B2,5.8
concrete,B2,6.3
confess,B2,6.6
confusion,B2,6.4
consequently,B2,5.5
conservation,B2,6.3
considerable,B2,5.4
consistent,B2,6.2
conspiracy,B2,6.4
consult,B2,6.6
consultant,B2,5.5
consumption,B2,6.3
controversial,B2,5.4
controversy,B2,5.4
convenience,B2,6.5
convention,B2,6.2
conventional,B2,6.4
convey,B2,6.6
convincing,B2,5.5
cop,B2,6.3
cope,B2,6.5
corporation,B2,5.2
corridor,B2,5.6
counter,B2,6.2
coverage,B2,6.2
cowboy,B2,6.6
crack,B2,6.3
craft,B2,6.3
creative,B2,5.2
critical,B2,6.0
cruise,B2,6.4
cue,B2,6.7
curious,B2,6.3
curriculum,B2,5.5
cute,B2,5.1
dairy,B2,5.5
dare,B2,6.3
darkness,B2,6.3
database,B2,5.3
deadline,B2,5.5
deadly,B2,6.4
dealer,B2,6.4
deck,B2,6.3
defender,B2,5.5
delete,B2,6.4
delighted,B2,6.5
democracy,B2,6.2
democratic,B2,6.1
demonstration,B2,6.5
depart,B2,6.7
dependent,B2,6.3
deposit,B2,6.4
depression,B2,6.2
derive,B2,6.8
desperate,B2,6.3
destruction,B2,6.3
determination,B2,6.4
devote,B2,6.8
differ,B2,5.5
dime,B2,5.7
disability,B2,5.4
disabled,B2,6.3
disagree,B2,5.5
disappoint,B2,5.8
discourage,B2,6.8
disorder,B2,6.3
distant,B2,6.4
distinct,B2,6.3
distinguish,B2,6.6
distract,B2,5.7
disturb,B2,6.8
dive,B2,6.5
diverse,B2,5.4
diversity,B2,5.3
divorce,B2,6.3
dominant,B2,6.4
donation,B2,5.5
dot,B2,6.5
dramatic,B2,6.3
drought,B2,5.6
dull,B2,6.5
dump,B2,6.5
duration,B2,6.4
dynamic,B2,6.3
eager,B2,5.5
economics,B2,5.2
economist,B2,5.6
editorial,B2,6.5
efficient,B2,5.3
elbow,B2,6.6
electronics,B2,5.4
elegant,B2,6.5
elementary,B2,6.3
eliminate,B2,6.4
embrace,B2,6.4
emission,B2,6.7
emotional,B2,6.1
empire,B2,6.2
enjoyable,B2,5.6
entertaining,B2,6.5
entrepreneur,B2,5.5
envelope,B2,6.6
equip,B2,5.8
equivalent,B2,6.2
era,B2,6.1
erupt,B2,7.1
essential,B2,6.2
ethic,B2,5.8
ethnic,B2,6.3
evaluation,B2,5.4
evident,B2,5.5
evolution,B2,5.3
evolve,B2,6.6
exceed,B2,6.6
exception,B2,6.3
excessive,B2,5.5
exclude,B2,6.6
exotic,B2,5.6
expansion,B2,6.2
expedition,B2,6.5
expertise,B2,5.5
exploit,B2,6.6
exposure,B2,6.3
extension,B2,6.2
extensive,B2,6.2
extract,B2,6.5
fabric,B2,5.5
fabulous,B2,6.5
faculty,B2,5.3
failed,B2,6.0
fake,B2,6.1
fame,B2,5.3
fantasy,B2,6.2
fare,B2,6.5
firefighter,B2,6.0
firework,B2,6.3
firm,B2,6.1
flavor,B2,6.5
fond,B2,6.6
fool,B2,6.3
forbid,B2,5.7
forecast,B2,6.5
format,B2,6.2
formation,B2,6.2
former,B2,5.8
fortunate,B2,6.5
forum,B2,5.3
fossil,B2,6.5
foundation,B2,6.0
founder,B2,6.2
fraction,B2,6.5
fragment,B2,6.8
framework,B2,6.3
fraud,B2,6.3
free,B2,5.6
frequent,B2,6.4
fulfill,B2,6.6
full-time,B2,4.7
fundamental,B2,6.3
furious,B2,6.5
gallon,B2,5.7
gaming,B2,5.3
gay,B2,6.0
gender,B2,5.2
gene,B2,5.3
genetic,B2,6.3
genius,B2,6.3
genuine,B2,6.3
gesture,B2,6.6
globalization,B2,5.9
globe,B2,6.3
golden,B2,6.1
goodness,B2,5.4
gorgeous,B2,5.3
graphic,B2,6.4
graphics,B2,6.4
great,B2,5.4
greenhouse,B2,5.6
guideline,B2,6.9
habitat,B2,5.6
harbor,B2,6.4
headquarters,B2,6.3
heal,B2,6.5
healthcare,B2,5.2
helmet,B2,5.5
hence,B2,6.3
herb,B2,5.7
hidden,B2,6.2
hilarious,B2,5.3
hip,B2,6.2
historian,B2,5.6
homeless,B2,6.4
honesty,B2,5.5
honey,B2,6.3
hook,B2,6.3
hopeful,B2,6.6
hunger,B2,6.5
hypothesis,B2,6.6
icon,B2,6.4
identical,B2,6.4
illusion,B2,6.5
immigration,B2,5.2
immune,B2,6.4
implement,B2,6.4
implication,B2,6.8
incentive,B2,5.5
incorporate,B2,6.6
incorrect,B2,6.5
independence,B2,6.2
